title,box_off_num
용서는 없다,3660956.7171802917
아빠가 여자를 좋아해,920451.5465838859
하모니,1235703.8459678795
의형제,1567781.602859978
평행 이론,1037945.9447097253
회오리 바람,82770.66462758984
경계도시 2,150697.03639323282
이웃집 남자,114785.3432638738
아마존의 눈물 극장판,112937.80249631495
반가운 살인자,806256.4286538071
집 나온 남자들,484124.27508950623
베스트셀러,1226736.2821606367
작은 연못,946665.330930106
경,152104.26580249582
대한민국 1%,808328.627623331
포화 속으로,2701141.0603424413
나쁜 놈이 더 잘 잔다,257796.1138026605
맨발의 꿈,2321927.679485175
요술,228418.5359950591
마법천자문: 대마왕의 부활을 막아라,278924.4408858708
인플루언스,149802.11033644568
미스터 좀비,261328.8132021421
김복남 살인사건의 전말,859942.8657827101
엄지아빠,302980.98037726287
탈주,114315.76905306286
해결사,941110.8231888234
할,93432.62989196664
된장,913394.62023388
조금만 더 가까이,203328.72910808012
우리 만난 적 있나요,161559.77704805543
쩨쩨한 로맨스,1563224.1626675914
용서,124754.08541897887
브라보! 재즈 라이프,239544.2399898384
카페 느와르,1812083.134588002
오래된 인력거,120895.29364069267
창피해,300631.11759444705
"양 한 마리, 양 두 마리",183839.50057104303
하얀 정글,111961.00985330026
다슬이,74985.10833524812
REC 알이씨,89468.15350487575
량강도 아이들,188045.66198917566
티끌모아 로맨스,139567.26948927157
더 킥,340213.3824575048
커플즈,414679.7194275971
오늘,535610.6568413728
완득이,935969.6686199605
은어,174789.30447306458
고래를 찾는 자전거,-8697.821313144537
도가니,1586522.4897968385
겨울냄새,162539.05381486032
환타스틱 모던가야그머,162539.05381486032
블라인드,663815.9519047796
링크,361065.6064749604
퀵,851072.7455561748
모비딕,783233.4104686998
굿바이 보이,377720.42342898727
종로의 기적,332265.9904836651
회초리,912304.3401900299
체포왕,1567781.602859978
세상에서 가장 아름다운 이별,3403271.0496952087
나는 아빠다,954639.2403797865
수상한 고객들,3445710.012987393
수상한 이웃들,274603.6486334021
돌아오는 길,152851.93688046673
우리 이웃의 범죄,329091.4770155618
엄마는 창녀다,80685.31604793118
위험한 상견례,1899324.4290912095
간증,254653.96204236484
"사랑한다, 사랑하지 않는다",368126.00695874525
"혜화, 동",218223.0615924079
글러브,3403271.0496952087
가문의 귀환,742276.7621248272
잔혹한 앵글의 로망스,103807.49462822138
나의 PS 파트너,941290.0272841409
롤플레이,142460.89834099365
마티나,80473.2687973945
음치 클리닉,1972735.116159977
남영동1985,219787.57192171458
돈 크라이 마미,322949.5792667642
반드시 크게 들을 것 2 : Wild Days,105933.17284404005
범죄소년,218223.0615924079
내가 살인범이다,1899967.9282834162
터치,38679.48226713085
늑대소년,3355625.1635324867
맥코리아,91814.75613075591
용의자X,1564460.635802879
하나안,187309.90465890703
투 올드 힙합 키드,120677.82487139801
한경직,131786.43639843317
미운오리새끼,157304.47465318258
황제펭귄 펭이와 솜이,93957.53607008257
두 개의 문,137531.61496985937
I AM,359816.28407707886
후궁 : 제왕의 첩,2382750.924424258
"안녕, 하세요!",205529.5550529811
천국의 아이들,362352.99891638785
할머니는 일학년,168169.2961422098
두레소리,305667.35541326925
"봄, 눈",224301.40529967187
은교,1420344.51764624
간기남,1183288.6322817889
시체가 돌아왔다,1035176.930600323
말하는 건축가,143996.6618756709
밀월도 가는 길,107764.55380248651
파파,588390.4447681648
점박이:한반도의 공룡3D,188074.14262568834
댄싱퀸,3660956.7171802917
누구의 딸도 아닌 해원,41508.71412395777
신세계,3660956.7171802917
굿바이 홈런,98539.04830552697
불륜의 시대,68355.73065156909
남쪽으로 튀어,2655258.9317993945
좋은 친구들,1299478.1140274727
지슬 - 끝나지 않은 세월 2,305667.35541326925
누구나 제 명에 죽고 싶다,135920.23255534255
사이코메트리,856737.6560028398
환상속의 그대,336602.6858450035
몽타주,1659861.4797438965
"힘내세요, 병헌씨",245194.78093760577
꼭두각시,312607.70574661094
홀리,152158.18757413438
마이 라띠마,1645624.2278870128
더 테러 라이브,823334.8380220404
슈퍼피쉬 - 끝없는 여정,85217.28658219107
콩가네,379377.4332018948
허풍,227007.56311530335
젊은 엄마,88556.15979162871
노라노,124754.08541897887
노브레싱,105883.54809039485
말하는 건축 시티:홀,378989.0457417322
댄서김의 은밀한 교수법,103807.49462822138
소원,923123.6204106098
고양이 소녀,99816.7954227393
롤플레이 2 : 동침,103807.49462822138
동창생,1086751.16212421
용의자,3700657.3183123292
미녀전쟁,233798.23920314093
캐치미,746736.839386855
그 강아지 그 고양이,168780.1901771181
화려한 외출,168454.63646650594
오하이오 삿포로,101344.49810947748
마이 리틀 히어로,3403271.0496952087
박수건달,3493355.8991501154
