id,count
0,94.21875
1,264.93
2,103.99
4,32.87
5,140.71666666666667
10,122.075
11,239.155
12,379.49
15,46.28
17,195.525
18,295.75
23,239.435
25,146.41
26,45.375
31,194.705
39,131.91
40,30.12
41,211.15
42,387.605
43,133.755
51,182.665
52,101.105
54,17.62
60,131.67
61,158.63
62,98.91125
63,26.355
65,89.57
66,123.29
68,184.275
71,99.81
80,32.41
82,66.965
94,146.47
98,242.575
101,40.98
102,161.175
107,150.95
112,255.43
113,98.97
115,60.5
116,108.56
120,159.945
121,44.09
122,323.45
132,204.215
143,101.49
147,59.605
150,15.805
151,93.095
152,213.395
153,95.695
155,193.4
156,147.72
159,153.235
161,129.095
163,44.655
177,145.365
186,19.31
188,18.665
190,107.075
191,89.01
192,278.45
195,305.36
200,139.8
209,317.64
210,16.535
211,220.115
214,228.85083333333336
215,26.715
218,103.75
219,31.62
222,175.36
225,16.81
228,319.81
236,171.235
241,37.475
242,228.015
243,150.655
245,17.1025
247,251.5425
251,160.525
252,82.26125
253,85.845
254,91.76
258,303.67
260,51.385
261,149.55
265,87.07
266,276.34
267,327.035
269,169.66
270,64.01
275,96.91875
278,44.945
279,96.145
286,105.225
287,27.335
288,238.115
289,135.70833333333334
293,19.175
294,185.055
297,43.915
302,126.265
303,95.69875
304,112.515
307,100.77625
309,17.437499999999996
311,159.275
312,153.205
314,211.375
315,179.575
319,136.205
322,107.89
323,54.385
325,150.655
327,241.295
330,46.435
332,163.835
333,16.8075
338,100.795
341,102.975
345,215.17
348,129.33
349,43.905
350,125.54
352,55.27
355,19.625
356,172.685
358,63.96
363,153.56
369,125.14
371,19.86
372,149.745
375,295.99
380,144.005
388,33.91
391,141.435
392,280.02
393,369.66
394,230.725
396,27.495
401,40.655
407,94.995
409,96.24
410,123.92
416,126.9
418,126.325
420,153.545
421,211.855
422,138.43
424,296.41
428,377.695
429,243.015
431,225.32
435,21.71
439,107.86
441,20.205
447,84.435
449,213.935
451,176.59
452,16.100833333333334
454,213.225
458,240.165
463,149.79
467,15.95
470,288.335
471,143.57
474,283.975
478,13.445
483,126.99
484,175.675
485,95.695
486,145.635
491,100.63625
494,88.235
495,254.25
497,223.23
499,230.585
515,138.335
518,202.105
521,213.6
525,158.395
529,254.795
532,144.995
534,87.55
540,83.965
544,312.45
547,143.66
549,33.3
563,45.21
564,156.82
567,128.635
572,139.615
577,149.455
578,245.475
585,377.44
588,210.51
589,150.925
590,101.295
592,16.725
594,298.705
596,17.62
598,392.085
599,119.94
605,34.075
606,135.16
607,277.945
608,199.10416666666663
609,50.95
610,289.325
611,220.585
614,188.165
615,195.645
616,243.42
617,152.28
618,244.67
624,125.98
629,153.265
631,86.53
633,94.21875
637,27.655
638,101.965
643,72.195
644,135.38
645,43.705
646,213.3475
648,162.97
650,39.91
651,232.495
652,277.535
656,136.16
657,15.01
659,101.625
660,237.61
662,99.54
665,350.11
675,328.625
681,134.425
682,226.475
685,16.948333333333334
686,149.575
689,26.48
696,143.345
703,147.48
704,100.71625
705,198.72166666666664
714,242.6
717,107.735
718,13.445
720,63.165
721,229.675
723,217.09
726,226.735
728,153.035
730,237.6
731,27.675
734,340.625
737,94.52
738,15.0
745,253.555
746,27.675
749,236.33
752,26.3
753,194.51
758,226.025
765,18.35
766,228.355
768,93.095
769,182.465
774,184.95
775,90.12
781,67.2
784,338.28
794,15.25
795,285.01
796,83.9
802,220.215
803,232.495
805,43.905
806,283.375
807,99.045
809,15.71
810,216.07
812,232.51
814,126.53
818,253.325
819,149.03
825,62.495
836,129.115
839,163.32
847,269.575
848,227.47
851,148.055
852,130.615
853,34.065
857,191.93
858,43.705
859,241.095
861,31.92
867,102.67
870,251.13
871,197.1
872,213.935
874,375.21
881,129.5
886,132.395
890,60.5
895,141.46
899,85.845
900,282.035
901,244.275
902,202.13
903,46.415
913,244.67
918,173.88
923,186.29833333333332
924,47.76
926,26.175
927,20.665
930,223.075
934,28.83
937,142.8
939,212.565
941,90.565
942,391.17
946,286.525
950,102.775
953,88.94
959,78.98
961,23.99
962,77.95
964,74.62
969,208.19
971,117.825
976,47.48
978,248.845
980,253.765
981,196.29
990,376.77
993,16.77
996,17.045
